"Rango de Ejec del Contrato";"fechadif";"n"
"316";"M";121;54
"317";"M";122;346
"318";"M";123;69
"319";"M";128;1
"320";"M";136;8
"321";"M";139;1
"322";"M";145;1
"323";"M";146;1
"324";"M";150;34
"325";"M";151;227
"326";"M";152;37
"327";"M";153;414
"328";"M";155;3
"329";"M";157;1
"330";"M";159;1
"331";"M";163;3
"332";"M";166;1
"333";"M";168;4
"334";"M";172;1
"335";"M";177;1
"336";"M";179;1
"337";"M";181;565
"338";"M";182;170
"339";"M";183;209
"340";"M";184;366
"341";"M";185;3
"342";"M";188;11
"343";"M";189;1
"344";"M";195;2
"345";"M";197;1
"346";"M";198;2
"347";"M";202;1
"348";"M";205;2
"349";"M";211;1
"350";"M";212;505
"351";"M";213;5
"352";"M";214;168
"353";"M";215;3
"354";"M";219;3
"355";"M";222;1
"356";"M";224;1
"357";"M";226;5
"358";"M";227;1
"359";"M";228;2
"360";"M";229;7
"361";"M";233;3
"362";"M";234;2
"363";"M";236;2
"364";"M";238;1
"365";"M";239;2
"366";"M";240;2
"367";"M";241;2
"368";"M";242;113
"369";"M";243;597
"370";"M";244;158
"371";"M";245;86
"372";"M";246;1
"373";"M";253;2
"374";"M";255;3
"375";"M";256;2
"376";"M";257;13
"377";"M";258;2
"378";"M";259;2
"379";"M";260;1
"380";"M";261;1
"381";"M";262;2
"382";"M";265;4
"383";"M";266;2
"384";"M";267;1
"385";"M";269;2
"386";"M";270;1
"387";"M";272;1
"388";"M";273;344
"389";"M";274;179
"390";"M";275;146
"391";"M";276;5
"392";"M";277;1
"393";"M";278;2
"394";"M";280;1
"395";"M";284;1
"396";"M";285;5
"397";"M";286;1
"398";"M";287;4
"399";"M";288;3
"400";"M";290;5
"401";"M";291;2
"402";"M";293;2
"403";"M";296;1
"404";"M";297;2
"405";"M";298;2
"406";"M";299;4
"407";"M";300;1
"408";"M";301;2
"409";"M";302;1
"410";"M";303;121
"411";"M";304;163
"412";"M";305;32
"413";"M";306;56
"414";"M";308;2
"415";"M";309;1
"416";"M";310;1
"417";"M";314;2
"418";"M";316;1
"419";"M";317;2
"420";"M";318;1
"421";"M";319;1
"422";"M";320;1
"423";"M";321;2
"424";"M";323;1
"425";"M";326;3
"426";"M";327;1
"427";"M";328;2
"428";"M";329;2
"429";"M";332;21
"430";"M";333;36
"431";"M";334;723
"432";"M";335;587
"433";"M";336;8
"434";"M";337;12
"435";"M";344;1
"436";"M";345;1
"437";"M";348;2
"438";"M";351;2
"439";"M";352;1
"440";"M";354;1
"441";"M";360;1
"442";"M";362;1
"443";"M";363;40
"444";"M";364;18
"445";"M";365;1550
"446";"M";366;611
"447";"M";369;1
"448";"M";370;2
"449";"M";374;1
"450";"M";377;1
"451";"M";381;1
"452";"M";382;1
"453";"M";385;1
"454";"M";386;1
"455";"M";392;1
"456";"M";393;3
"457";"M";394;1
"458";"M";395;50
"459";"M";396;108
"460";"M";397;18
"461";"M";401;1
"462";"M";403;1
"463";"M";404;1
"464";"M";408;1
"465";"M";410;1
"466";"M";411;1
"467";"M";417;1
"468";"M";423;1
"469";"M";424;6
"470";"M";425;11
"471";"M";426;63
"472";"M";427;7
"473";"M";428;1
"474";"M";434;1
"475";"M";436;1
"476";"M";439;1
"477";"M";440;3
"478";"M";441;5
"479";"M";442;2
"480";"M";444;1
"481";"M";450;1
"482";"M";451;1
"483";"M";453;1
"484";"M";454;5
"485";"M";455;25
"486";"M";456;19
"487";"M";457;48
"488";"M";458;2
"489";"M";459;1
"490";"M";460;1
"491";"M";470;2
"492";"M";473;1
"493";"M";483;1
"494";"M";484;1
"495";"M";485;11
"496";"M";486;10
"497";"M";487;14
"498";"M";488;9
"499";"M";491;1
"500";"M";496;1
"501";"M";500;1
"502";"M";506;1
"503";"M";508;2
"504";"M";513;1
"505";"M";514;1
"506";"M";516;23
"507";"M";517;7
"508";"M";518;5
"509";"M";519;2
"510";"M";523;1
"511";"M";524;1
"512";"M";529;1
"513";"M";531;2
"514";"M";545;1
"515";"M";546;36
"516";"M";547;32
"517";"M";548;20
"518";"M";549;31
"519";"M";550;2
"520";"M";551;1
"521";"M";555;1
"522";"M";556;1
"523";"M";562;1
"524";"M";576;1
"525";"M";577;40
"526";"M";578;7
"527";"M";579;4
"528";"M";580;2
"529";"M";589;1
"530";"M";598;1
"531";"M";599;1
"532";"M";603;1
"533";"M";606;1
"534";"M";607;198
"535";"M";608;30
"536";"M";609;5
"537";"M";610;2
"538";"M";611;7
"539";"M";616;1
"540";"M";629;1
"541";"M";638;154
"542";"M";639;20
"543";"M";640;1
"544";"M";641;1
"545";"M";642;1
"546";"M";644;1
"547";"M";646;1
"548";"M";648;3
"549";"M";651;1
"550";"M";668;2
"551";"M";669;8
"552";"M";670;18
"553";"M";672;2
"554";"M";679;1
"555";"M";681;3
"556";"M";683;1
"557";"M";690;1
"558";"M";699;10
"559";"M";700;16
"560";"M";701;6
"561";"M";709;1
"562";"M";712;1
"563";"M";725;1
"564";"M";726;1
"565";"M";730;332
"566";"M";731;166
"567";"M";745;1
"568";"M";748;1
"569";"M";753;1
"570";"M";754;3
"571";"M";755;2
"572";"M";758;2
"573";"M";760;6
"574";"M";761;36
"575";"M";762;3
"576";"M";767;1
"577";"M";790;2
"578";"M";791;6
"579";"M";792;12
"580";"M";799;1
"581";"M";821;5
"582";"M";822;1
"583";"M";823;7
"584";"M";845;1
"585";"M";851;9
"586";"M";852;14
"587";"M";853;3
"588";"M";854;1
"589";"M";877;1
"590";"M";883;3
"591";"M";884;1
"592";"M";907;2
"593";"M";911;2
"594";"M";912;13
"595";"M";913;7
"596";"M";914;3
"597";"M";915;5
"598";"M";919;1
"599";"M";942;1
"600";"M";943;4
"601";"M";944;1
"602";"M";945;1
"603";"M";955;1
"604";"M";973;2
"605";"M";974;3
"606";"M";975;1
"607";"M";1004;4
"608";"M";1005;3
"609";"M";1016;1
"610";"M";1023;1
"611";"M";1034;1
"612";"M";1035;6
"613";"M";1036;1
"614";"M";1048;1
"615";"M";1065;1
"616";"M";1066;2
"617";"M";1095;56
"618";"M";1096;84
"619";"M";1097;6
"620";"M";1100;1
"621";"M";1102;1
"622";"M";1103;1
"623";"M";1104;1
"624";"M";1105;2
"625";"M";1107;2
"626";"M";1108;2
"627";"M";1109;1
"628";"M";1112;1
"629";"M";1134;1
"630";"M";1151;1
"631";"M";1157;3
"632";"M";1158;2
"633";"M";1187;5
"634";"M";1188;1
"635";"M";1215;1
"636";"M";1216;3
"637";"M";1217;6
"638";"M";1218;1
"639";"M";1247;1
"640";"M";1248;1
"641";"M";1249;1
"642";"M";1280;3
"643";"M";1285;1
"644";"M";1305;1
"645";"M";1308;2
"646";"M";1339;1
"647";"M";1346;1
"648";"M";1369;2
"649";"M";1370;1
"650";"M";1400;2
"651";"M";1458;1
"652";"M";1461;24
"653";"M";1464;1
"654";"M";1492;1
"655";"M";1520;1
"656";"M";1612;2
"657";"M";1638;1
"658";"M";1826;1
"659";"M";2261;1
"660";"M";2922;1
"661";"M";6280;1
"662";"M";6590;1
"663";"M";7670;1
"664";"N";NA;145
